Temperature (K),Internal Energy (J),Heat Capacity (J/K)
10.0,-2.4073318774489737e-21,8.840693777719584e-23
20.0,-1.5232624996770152e-21,9.724494911051297e-23
30.0,-4.624328952387142e-22,9.79422905100228e-23
40.0,4.355833105234409e-22,7.942791632069167e-23
50.0,1.1261254311751193e-21,6.315313314794736e-23
60.0,1.698645973482388e-21,5.424033957017968e-23
70.0,2.210932222578713e-21,4.9597956917403154e-23
80.0,2.690605111830451e-21,4.701390730674194e-23
90.0,3.1512103687135516e-21,4.5464441497847206e-23
100.0,3.599893941787395e-21,4.447461067911677e-23
110.0,4.040702582295887e-21,4.3808879932358115e-23
120.0,4.4760715404345576e-21,4.334200398839311e-23
130.0,4.907542662063749e-21,4.300314706923017e-23
140.0,5.336134481819161e-21,4.27500829229309e-23
150.0,5.762544320522367e-21,4.255649130531947e-23
160.0,6.1872643079255505e-21,4.240533048555916e-23
170.0,6.6106509302335505e-21,4.2285200018519375e-23
180.0,7.032968308295938e-21,4.2188254562102997e-23
190.0,7.45441602147561e-21,4.2108960329657825e-23
200.0,7.875147514889094e-21,4.2043328348203444e-23
210.0,8.29528258843968e-21,4.198842739269347e-23
220.0,8.714916062742964e-21,4.1942066281790435e-23
230.0,9.134123914075488e-21,4.190258168820195e-23
240.0,9.552967696507003e-21,4.186869338189089e-23
250.0,9.971497781713306e-21,4.183940356790423e-23
260.0,1.0389755767865088e-20,4.1813925661805207e-23
270.0,1.080777629494941e-20,4.1791633091965e-23
280.0,1.1225588429704388e-20,4.1772021962406287e-23
290.0,1.1643216734197536e-20,4.1754683461150914e-23
300.0,1.2060682098927406e-20,4.1739283220153796e-23
310.0,1.2478002398600612e-20,4.172554570041188e-23
320.0,1.2895193012935643e-20,4.171324225583995e-23
330.0,1.331226724371741e-20,4.170218191987214e-23
340.0,1.3729236651333086e-20,4.1692204229264015e-23
350.0,1.414611132830269e-20,4.1683173588263026e-23
360.0,1.4562900123098347e-20,4.167497480653697e-23
370.0,1.497961082443343e-20,4.166750954105696e-23
380.0,1.5396250313919486e-20,4.1660693438787724e-23
390.0,1.5812824693209185e-20,4.1654453827170225e-23
400.0,1.622933939046289e-20,4.1648727835800697e-23
410.0,1.66457992499252e-20,4.164346086055928e-23
420.0,1.7062208607674076e-20,4.1638605299622205e-23
430.0,1.7478571355917643e-20,4.163411950872184e-23
440.0,1.7894890997848513e-20,4.162996693417007e-23
450.0,1.8311170694601044e-20,4.1626115387437506e-23
460.0,1.8727413305597263e-20,4.1622536437946306e-23
470.0,1.914362142335997e-20,4.161920490227504e-23
480.0,1.9559797403642764e-20,4.161609841124815e-23
490.0,1.9975943391584933e-20,4.161319704335443e-23
500.0,2.0392061344509852e-20,4.1610483012284186e-23
510.0,2.0808153051830617e-20,4.160794039918642e-23
520.0,2.122422015249358e-20,4.1605554924446153e-23
530.0,2.164026415031954e-20,4.1603313750738827e-23
540.0,2.2056286427508357e-20,4.1601205312007705e-23
550.0,2.2472288256559694e-20,4.1599219166553976e-23
560.0,2.2888270810839437e-20,4.159734586980978e-23
570.0,2.330423517395589e-20,4.1595576862557254e-23
580.0,2.3720182348090582e-20,4.159390437390019e-23
590.0,2.4136113261433894e-20,4.159232133621496e-23
600.0,2.455202877481488e-20,4.159082131080959e-23
610.0,2.4967929687650086e-20,4.1589398422904434e-23
620.0,2.538381674327297e-20,4.158804730308383e-23
630.0,2.5799690633711762e-20,4.158676303645161e-23
640.0,2.6215552004002002e-20,4.158554111818059e-23
650.0,2.6631401456075374e-20,4.1584377412759924e-23
660.0,2.70472395522572e-20,4.158326811894316e-23
670.0,2.746306681845424e-20,4.158220973793188e-23
680.0,2.787888374701584e-20,4.158119904548825e-23
690.0,2.8294690799364e-20,4.158023306589643e-23
700.0,2.8710488408333767e-20,4.157930905054625e-23
710.0,2.912627698037493e-20,4.157842445721017e-23
720.0,2.954205689747797e-20,4.1577576930321797e-23
730.0,2.9957828518981363e-20,4.157676428803362e-23
740.0,3.037359218323864e-20,4.157598450526883e-23
750.0,3.078934820908674e-20,4.157523569954644e-23
760.0,3.120509689722957e-20,4.1574516121505776e-23
770.0,3.1620838531516855e-20,4.157382414250344e-23
780.0,3.203657338007964e-20,4.157315824467553e-23
790.0,3.2452301696410366e-20,4.1572517012771664e-23
800.0,3.2868023720335073e-20,4.157189912568096e-23
810.0,3.3283739678923985e-20,4.1571303349421574e-23
820.0,3.3699449787323505e-20,4.1570728529745174e-23
830.0,3.411515424951889e-20,4.157017358581987e-23
840.0,3.45308532590399e-20,4.156963750645542e-23
850.0,3.4946546999647997e-20,4.1569119343786116e-23
860.0,3.5362235645915625e-20,4.156861820741605e-23
870.0,3.577791936379632e-20,4.1568133262261986e-23
880.0,3.6193598311160865e-20,4.156766372408526e-23
890.0,3.6609272638278023e-20,4.156720885425321e-23
900.0,3.702494248824593e-20,4.156676795896883e-23
910.0,3.74406079974574e-20,4.1566340384494477e-23
920.0,3.785626929593582e-20,4.1565925514994775e-23
930.0,3.8271926507757295e-20,4.15655227705337e-23
940.0,3.868757975134649e-20,4.1565131602298274e-23
950.0,3.910322913980326e-20,4.1564751493368874e-23
960.0,3.951887478121387e-20,4.1564381955637836e-23
970.0,3.993451677891602e-20,4.156402252734418e-23
980.0,4.0350155231760753e-20,4.156367277168701e-23
990.0,4.076579023434976e-20,3.1068149949926173e-23
1000.0,4.0971518230759277e-20,2.057279964095195e-23
